page_url,image_url,author,title,annotation
http://loveread.ec/view_global.php?id=10280,http://loveread.ec/img/photo_books/10280.jpg,Даниэль Зеа Рэй,Книга Донор,"Одна жизнь не может изменить все, однако, одна тайна способна разрушить множество жизней.
Когда Сафину Йоррисон, блестящего хирурга, призвали на войну человечества против инопланетных существ, она не ждала от жизни ничего, кроме смерти. Но судьба распорядилась иначе, и девушка, у которой никого не осталось, встретила человека, который стал для нее самым близким на Свете... Или это была не судьба, а тот, кто в действительности управлял ее жизнью? Человек, который знал, почему у Сафины так много скрытых талантов, о которых она раньше не подозревала? Каким образом в своих снах она вспоминает места, где никогда не была и общается с теми, кого никогда не знала? Разгадает ли они тайну, связавшую ее с избранником еще до их знакомства, и смогут ли молодые люди с тем грузом действительности, обрушившимся на них, начать все заново и стать счастливыми?"
http://loveread.ec/view_global.php?id=10281,http://loveread.ec/img/photo_books/10281.jpg,Даниэль Зеа Рэй,Книга Пробуждение,"Не каждая история начинается с рождения. Не каждый путь заканчивается смертью. Она поняла это в свои двадцать семь. Поняла, когда, наконец, умерла. Никто не обещал, что будет легко. Никто не говорил, что ее там ждут. Ее назовут новым именем и с презрением скажут, что она ""пробужденная"". Ее выкинут, как тряпку, в новый Мир и посмотрят, что из этого получится.
И он не протянет ей своей руки. Ведь ему тридцать три, и он ненавидит таких, как она. Но ведь никто не обещал, что будет просто. Никто не говорил, что ему не придется ее защищать.
Эта история начнется со смерти. Эта любовь произрастет из ненависти. Это пробуждение расставит все по своим местам."
http://loveread.ec/view_global.php?id=10282,http://loveread.ec/img/photo_books/10282.jpg,Даниэль Зеа Рэй,Книга Раса,"Он — сверхновый. Она — простой человек. Его предки творили историю. Она не помнит своего прошлого. Они живут в Мире, где все определяется происхождением и таким, как она, в нем нет места. Но там, где возникают истинные чувства, не остается шанса условностям. На что готовы пойти герои, чтобы быть вместе? Какие тайны скрывает ее сознание и почему кому-то очень мешает союз этих двоих? ""Раса"" — это роман о людях, которые не должны были быть вместе, но встреча которых изменила весь окружающий Мир."
http://loveread.ec/view_global.php?id=10283,http://loveread.ec/img/photo_books/10283.jpg,Даниэль Зеа Рэй,Книга Эльф,"Мир, который не принял ее с распростертыми объятьями, станет чужим. Люди, что замахнутся на нее, поплатятся жизнью. Уродство, которая она ненавидит, поможет ей. Только шесть правил имеют значение для нее. Но, для того, чтобы отомстить, придется нарушить их все.
Ему предсказали, что он встретится с ней. Его предупредили, что она должна быть слепой. Так много загадок, завещанных старой провидицей. Так много тайн в прошлом той, кто станет всем для него.
Их дороги пересекутся на пешеходном переходе, и для кого-то это будет началом конца. Но ведь за преступление нужно ответить, а значит, она предъявит свой счет. Это — ее право, это — его воля, это то, за что придется платить."
http://loveread.ec/view_global.php?id=10394,http://loveread.ec/img/photo_books/10394.jpg,Кристин Каст,Книга Предназначенный,"В Предназначенной силы Света и Тьмы встретятся в большой битве за Дом Ночи города Талса. Зои дома там, где она принадлежит, в безопасности со своим Воином Старком, который находится рядом с ней, и готовится противостоять Неферет. Калона ослабил свою влияние на Рефаима, и благодаря дару никс – человеческой форме, он и Стиви Рей, наконец-то, могут быть вместе, если Рефаим сможет полностью довериться Богине и держаться подальше тени своего отца. Но на самом ли деле Зои в безопасности? Знает ли она на самом деле тех, кто близки к ней? И победит ли любовь, которая проверяется самой Тьмой? Узнайте, что предназначено в следующей части захватывающей серии Дом Ночи."
http://loveread.ec/view_global.php?id=10395,http://loveread.ec/img/photo_books/10395.jpg,Эвангелина Андерсон,Книга Рыжая и волк,"Сара Дженсен - городская ведьма Бак Лейк, штата Теннесси. Больше всего она скучает по своему старшему брату и его лучшему другу Риву, которые служат за границей в морской пехоте. Но когда ее брат погибает в бою, Рив возвращается домой, проклятый и обреченный каждое полнолуние обращаться в ненасытного волка.
У Сары тоже есть своя тайна – она еще с детства по уши влюблена в этого мужчину. Когда же он приходит к ней домой в ночь Хэллоуина с просьбой о помощи, девушка случайно накладывает на него заклинание верности, пытаясь сдержать его зверя. Сара понимает, что берет на себя трудную и опасную миссию, снимая заклятие. Но когда волк окажется изгнан из Рива, заклинание верности тоже исчезнет, как и его любовь к ней."
http://loveread.ec/view_global.php?id=10396,http://loveread.ec/img/photo_books/10396.jpg,Эдвард Радзинский,Книга Николай II,"История Николая II - часть трилогии ""Три царя"". Последний великий царь Александр II, последний русский царь Николай II и первый большевистский царь Иосиф Сталин - ее герои. Отцы и жертвы великой исторической драмы, разыгравшейся в России в конце XIX - первой половине XX века. Влюбленные - Ники и Аликс, которым довелось соединиться в браке, и повелители одной шестой части мира - жили счастливым грядущим. День их коронации обещал стать прологом к еще более счастливой жизни, которая непременно ждала их в новом веке. До конца своих дней царь Николай II сохранял некую тетрадь. Это конспект по истории России, который вел один из его великих предков - царь-реформатор Александр II. ""Романовы"" - гордо озаглавлена тетрадь. ""Романовы"" - так можно озаглавить целых три столетия истории России."
http://loveread.ec/view_global.php?id=10397,http://loveread.ec/img/photo_books/10397.jpg,Эдвард Радзинский,Книга Распутин,"Незаурядная личность простого сибирского мужика Григория Распутина оказала заметное влияние на многие события истории России в начале XX века.
В 1905 году Распутин попал в столицу Российской империи. Его пригласили к императорскому двору в разгар одного из приступов болезни у цесаревича, когда состояние ребенка стало критическим.
Николай II не приветствовал частые появления Pacпутина во дворце, но только Григорий мог помочь наследнику престола.
Используя свое огромное влияние на императрицу Александру Федоровну, Распутин брал взятки за продвижение определенных проектов или по карьерной лестнице.
В среде императорского окружения возник заговор против Pаспутина, и 30 декабря 1916 года ""сибирскою старца"" убили."
http://loveread.ec/view_global.php?id=10398,http://loveread.ec/img/photo_books/10398.jpg,Эдвард Радзинский,Книга Сталин,"О Сталине написаны сотни книг, миллионы страниц. Но есть одна странность: во всех литературных трудах Сталина-человека заслонял Сталин-политик (воспоминания его соратников, близких и даже дочери - не исключение). Мы почти ничего не знаем о том, что он думал и чувствовал, стоя на вершине гигантской пирамиды власти, созданной им самим. Эдвард Радзинский подходит к ""феномену Сталина"" путем анализа личностных качеств ""красного царя"", создает объемную фигуру ЧЕЛОВЕКА со всеми его достоинствами и недостатками."
http://loveread.ec/view_global.php?id=10402,http://loveread.ec/img/photo_books/10402.jpg,Эдвард Радзинский,Книга Загадки истории,"Я купил рукопись Лас-Каза в сентябре 1832 года в Женеве. Основной текст рукописи написан, видимо, в 1815 году. Но много позднее автором были сделаны многочисленные вставки в этот текст – другими чернилами. Думаю, их следует набирать курсивом."
