page_url,image_url,author,title,annotation
http://loveread.ec/view_global.php?id=41,http://loveread.ec/img/photo_books/41.jpg,Владимир Набоков,Книга Приглашение на казнь,"Это - собрание самых, наверное, странных произведений Набокова. Произведений, для которых подобрать определение в контексте набоковского творчества практически невозможно. `Приглашение на казнь` - роман, соотносящийся по иррациональности своей и сюрреалистичности лишь с `Процессом` Кафки... `Камера обскура` - надменно-изысканное, холодно-ироничное повествование, блистательно вобравшее в себя - и от себя отразившее - традиции европейской `кризисной прозы`... И наконец, яркое, экспрессионистское - и почти грозное в своем обнаженном экспрессионизме - `Отчаяние`. Как говорил сам автор, `Слушайте, слушайте!`. Слушайте. Такого Набокова вы еще не слышали."
http://loveread.ec/view_global.php?id=1166,http://loveread.ec/img/photo_books/1166.jpg,Агата Кристи,Книга Третья девушка,"Молодая девушка по имени Норма Рестарик обращается за советом к знаменитому детективу Эркюлю Пуаро. Она производит на него впечатление нервной, неуравновешенной и испуганной особы. Ей кажется, что она убила человека. Но она не может вспомнить ни имени жертвы, ни обстоятельств убийства, ни места преступления. Собирая по крохам нужную информацию, знакомясь с обстоятельствами жизни и людьми из окружения девушки, выстраивая логические цепочки событий, Эркюль Пуаро ищет... убийство."
http://loveread.ec/view_global.php?id=1187,http://loveread.ec/img/photo_books/1187.jpg,Роджер Желязны,Книга Принеси мне голову Прекрасного принца,"Несоврешеннолетний демон Аззи вообразил себя новым Франкенштейном: собрав по кусочкам Прекрасного принца и Спящую Красавицу и выписав со склада Волшебный замок, стеклянную гору и Заколдованный лес, он решил разыграть сказку. Но безалаберность и непосредственность Аззи привели к тому, что Принц отказался влюбляться. Аззи был вынужден сам исполнять желания капризной девченки, и только помощь высших сил спасла его замысел."
http://loveread.ec/view_global.php?id=1289,http://loveread.ec/img/photo_books/1289.jpg,Гарри Гаррисон,Книга Стальную крысу - в президенты !,"Великолепный Джим ди Гриз - знаменитый межзвездный преступник - получил за свою изобретательность и решительность меткое прозвище `Крыса из нержавеющей стали`. Рожденный богатой творческой фантазией Гарри Гаррисона, отчаянный и симпатичный герой из далекого будущего приобрел необыкновенную любовь и популярность поклонников фантастики во всем мире, щедро поделившись славой со своим создателем."
http://loveread.ec/view_global.php?id=1352,http://loveread.ec/img/photo_books/1352.jpg,Юз Алешковский,Книга Рука,"Роман Юза Алешковского «Рука» (1977, опубл. 1980 в США) написан в форме монолога сотрудника КГБ, мстящего за убитых большевиками родителей. Месть является единственной причиной, по которой главный герой делает карьеру в карательных органах, становится телохранителем Сталина, а кончает душевной опустошенностью..."
http://loveread.ec/view_global.php?id=1491,http://loveread.ec/img/photo_books/1491.jpg,Людмила Матвеева,Книга Самый умный в 6 «Б»,"Людмила Матвеева – автор уже известных читателям повестей «Мы в пятом классе», «Ступеньки, нагретые солнцем», «Конкурс красоты в 6 “А”». Ее новая повесть «Самый умный в 6 “Б”» продолжает рассказ о жизни ребят на дорожках Лунного бульвара и в школе. Превращения, новые встречи и, конечно, дружба и любовь – всему нашлось место на страницах этой книги."
http://loveread.ec/view_global.php?id=1552,http://loveread.ec/img/photo_books/1552.jpg,Филип Хосе Фармер,Книга Магический лабиринт,"Добро пожаловать в Мир Реки!
В мир самой увлекательной и самой своебразной саги за всю историю приключенческой научной фантастики!
Добро пожаловать в Мир Реки!
В мир, порожденный полетом воображения первого Великого мастера фантастики нового тысячелетия — Филипа Хосе Фармера! В мир странной планеты, опоясанной миллионом ильной Рекой. Рекой, на берегах которой загадочные «творцы» создали «искусственный рай». «Рай», в котором возрождаются ВСЕ люди, жившие когда-то на Земле. Возрождаются на берегах Великой Реки..."
http://loveread.ec/view_global.php?id=1671,http://loveread.ec/img/photo_books/1671.jpg,Альфред Элтон Ван Вогт,Книга Рейд к звездам,"Альфред Ван Вогт — один из ведущих авторов эпохи «золотого века» фантастики, писатель, удостоенный звания Великого Мастера Американской ассоциацией писателей-фантастов — и, пожалуй, самый своеобразный и оригинальный из фантастов знаменитого американского «довоенного поколения».

Произведения Ван Вогта, в каком бы жанре они ни были написаны — от «космической оперы» до антиутопии и «черной» утопии, - так или иначе объединяет одно: за увлекательностью «крепко сбитого», до предела «взвинченного» приключенческого сюжета здесь скрывается МЫСЛЬ. Мысль — иногда шокирующая, парадоксальная, иногда — иррациональная, почти нелепая, но всегда — ОТТОЧЕННАЯ. «Культ сверхчеловека» здесь превращается в своеобразный «антикульт», научный прогресс обращается противсамого себя, «сумерки богов» носят черты не столько «нового витка эволюции», сколько извечного «конфликта поколений» — но МЫСЛЬ звучит, звенит, как натянутая струна, — и по-прежнему будоражит читательское воображение..."
http://loveread.ec/view_global.php?id=1710,http://loveread.ec/img/photo_books/1710.jpg,Андрей Валентинов,Книга Орфей и Ника,"Москва, Китай, Тибет. Интриги НКВД и НКГБ. Таинственные научные эксперименты. Утомительные походы и отчаянные сражения. Чего же добиваются люди и нелюди, правящие огромной страной? Всемирной Революции или чего-то еще более ужасного? И найдутся ли силы, способные им противостоять?"
http://loveread.ec/view_global.php?id=1906,http://loveread.ec/img/photo_books/1906.jpg,Вадим Арчер,Книга Храм Саламандры,"Темный маг Каморра, изгнанный из колдовского ордена Саламандры, жаждет мести. Для этого он пытается собрать легендарные камни Трех Братьев, способные управлять магией, и с их помощью подчинить себе окрестные земли. Колдун, нанятый Каморрой, похищает одиниз бесценных камней, хранившийся у магистра Красного алтаря. Магистр и его помощник Альмарен бросаются в погоню за похитителем, вооружившись магическим знанием..."
http://loveread.ec/view_global.php?id=1924,http://loveread.ec/img/photo_books/1924.jpg,Александр Бачило,Книга Пленники Черного Метеорита,"Столетия лежит в музее загадочный Черный Метеорит. И вот в один прекрасный день несколько одноклассников невольно знакомятся с его истинными возможностями. Куда только не забрасывает ребят таинственная сила! Благородный рыцарь Ланселот, жестокие мафиози, невообразимые страшилища встают на пути друзей. Зачем? Почему? Чем все это закончится? Об этом вы узнаете, если прочитаете эту книгу."
http://loveread.ec/view_global.php?id=2118,http://loveread.ec/img/photo_books/2118.jpg,Лев Вершинин,Книга Великий Сатанг,"Словно вихрь пронеслась война ад мирами Галактического Содружества, опалив своим дыханием все планеты. Сбылись зловещие предназнаменования расы мудрых Сатангов, чьими заветами так легкомысленно пренебреглочеловечество. И вот уже под колесами неуязвимых супертанков, идущих на штурм столицы Дархая, гибнут посланцы далекой Земли."
http://loveread.ec/view_global.php?id=2125,http://loveread.ec/img/photo_books/2125.jpg,Лев Вершинин,Книга Хроники неправильного завтра,"Мерно шагают по пыльным дорогам повстанцы Багряного Короля - навстречу безмолвным всадникам в глухих шлемах над фиолетовыми плащами... Падают под неуязвимые супертанки последние защитники столицы Бессмертного Владыки Дархая. Гибнут декабристы, правители Российской Республики, побежденные собственной победой... И латы викингов разлетаются под автоматными очередями...
Этого - не было. Но так могло быть. А возможно - еще будет..."
http://loveread.ec/view_global.php?id=2193,http://loveread.ec/img/photo_books/2193.jpg,Агата Кристи,Книга Смерть лорда Эдвера,"Даже имея безупречное алиби, преступник не уйдет от возмездия, если расследование убийства ведет знаменитый сыщик Эркюль Пуаро - герой романа А. Кристи `Смерть лорда Эдвера`."
http://loveread.ec/view_global.php?id=2328,http://loveread.ec/img/photo_books/2328.jpg,Стефани Майер,Книга Солнце полуночи,Это пятая книга знаменитой сумеречной саги написана от лица Эдварда. Первые двенадцать глав писала С.Майер. Но когда неоконченная и не отредактированная книга просочилась в инэт писательница перестала её дописывать. Возможно когда нибудь она допишет её до конца.
